"13","40","1","13","ζοροβαβελ[2216](&nbsp;) δε[1161](Zerubbabel) εγεννησεν[1080](&nbsp;) τον[3588](Begat) αβιουδ[10](Abiud;) αβιουδ[10](&nbsp;) δε[1161](And Abiud) εγεννησεν[1080](&nbsp;) τον[3588](Begat) ελιακειμ[1662](Eliakim;) ελιακειμ[1662](&nbsp;) δε[1161](And Eliakim) εγεννησεν[1080](&nbsp;) τον[3588](Begat) αζωρ[107](Azor;) "
"14","40","1","14","αζωρ[107](&nbsp;) δε[1161](And Azor) εγεννησεν[1080](&nbsp;) τον[3588](Begat) σαδωκ[4524](Zadok;) σαδωκ[4524](&nbsp;) δε[1161](And Zadok) εγεννησεν[1080](&nbsp;) τον[3588](Begat) αχειμ[885](Achim;) αχειμ[885](&nbsp;) δε[1161](Achim) εγεννησεν[1080](&nbsp;) τον[3588](Begat) ελιουδ[1664](Eliud;) "
"15","40","1","15","ελιουδ[1664](&nbsp;) δε[1161](And Eliud) εγεννησεν[1080](&nbsp;) τον[3588](Begat) ελεαζαρ[1648](Eleazar) ελεαζαρ[1648](&nbsp;) δε[1161](And Eleazar) εγεννησεν[1080](&nbsp;) τον[3588](Begat) ματθαν[3157](Matthan;) ματθαν[3157](&nbsp;) δε[1161](And Matthan) εγεννησεν[1080](&nbsp;) τον[3588](Begat) ιακωβ[2384](Jacob;) "
"16","40","1","16","ιακωβ[2384](&nbsp;) δε[1161](And Jacob) εγεννησεν[1080](&nbsp;) τον[3588](Begat) ιωσηφ[2501](Joseph) τον[3588](The) ανδρα[435](Husband) μαριας[3137](Of Mary,) εξ[1537](Of) ης[3739](Whom) εγεννηθη[1080](Was Born) ιησους[2424](Jesus,) ο[3588](Who) λεγομενος[3004](Is Called) χριστος[5547](Christ.) "
"17","40","1","17","πασαι[3956](So) ουν[3767](All) αι[3588](The) γενεαι[1074](Generations) απο[575](From) αβρααμ[11](Abraham) εως[2193](To) δαβιδ[1138](David ""were"") γενεαι[1074](Generations) δεκατεσσαρες[1180](Fourteen;) και[2532](And) απο[575](From) δαυιδ[1138](David) εως[2193](Until) της[3588](The) μετοικεσιας[3350](Carrying Away) βαβυλωνος[897](Of Babylon,) γενεαι[1074](Generations) δεκατεσσαρες[1180](Fourteen;) και[2532](And) απο[575](From) της[3588](The) μετοικεσιας[3350](Carrying Away) βαβυλωνος[897](Of Babylon) εως[2193](To) του[3588](The) χριστου[5547](Christ,) γενεαι[1074](Generations) δεκατεσσαρες[1180](Fourteen.) "
"18","40","1","18","του[3588](Now) δε[1161](Of) ιησου[2424](Jesus) χριστου[5547](Christ) η[3588](The) γεννησις[1083](Birth) ουτως[3779](Thus) ην[2258](Was.) μνηστευθεισης[3423](Having Been Betrothed) γαρ[1063](&nbsp;) της[3588](For) μητρος[3384](&nbsp;) αυτου[846](His Mother) μαριας[3137](&nbsp;) τω[3588](Mary) ιωσηφ[2501](To Joseph,) πριν[4250](&nbsp;) η[2228](Before) συνελθειν[4905](&nbsp;) αυτους[846](They Came Together) ευρεθη[2147](She Was Found) εν[1722](To) γαστρι[1064](&nbsp;) εχουσα[2192](Be With Child) εκ[1537](Of ""the"") πνευματος[4151](Holy) αγιου[40](Spirit.) "
"19","40","1","19","ιωσηφ[2501](&nbsp;) δε[1161](&nbsp;) ο[3588](But Joseph) ανηρ[435](Her) αυτης[846](Husband,) δικαιος[1342](Righteous) ων[5607](Being,) και[2532](And) μη[3361](Not) θελων[2309](Willing) αυτην[846](Her) παραδειγματισαι[3856](To Expose Publicly,) εβουληθη[1014](Purposed) λαθρα[2977](Secretly) απολυσαι[630](To Put Away) αυτην[846](Her.) "
"20","40","1","20","ταυτα[5023](&nbsp;) δε[1161](And These Things) αυτου[846](When) ενθυμηθεντος[1760](He Had Pondered,) ιδου[2400](Behold,) αγγελος[32](An Angel) κυριου[2962](Of ""the"" Lord) κατ[2596](In) οναρ[3677](A Dream) εφανη[5316](Appeared) αυτω[846](To Him,) λεγων[3004](Saying,) ιωσηφ[2501](Joseph,) υιος[5207](Son) δαβιδ[1138](&nbsp;) μη[3361](Of David,) φοβηθης[5399](Fear Not) παραλαβειν[3880](To Take To ""thee"") μαριαμ[3137](&nbsp;) την[3588](Mary) γυναικα[1135](&nbsp;) σου[4675](Thy Wife,) το[3588](For That) γαρ[1063](Which) εν[1722](In) αυτη[846](Her) γεννηθεν[1080](Is Begotten) εκ[1537](Of) πνευματος[4151](""the"" Spirit) εστιν[2076](Is) αγιου[40](Holy.) "
"21","40","1","21","τεξεται[5088](&nbsp;) δε[1161](And She Shall Bring Forth) υιον[5207](A Son) και[2532](And) καλεσεις[2564](&nbsp;) το[3588](Thou Shalt Call) ονομα[3686](&nbsp;) αυτου[846](His Name) ιησουν[2424](Jesus;) αυτος[846](&nbsp;) γαρ[1063](For He) σωσει[4982](&nbsp;) τον[3588](Shall Save) λαον[2992](&nbsp;) αυτου[846](His People) απο[575](&nbsp;) των[3588](From) αμαρτιων[266](&nbsp;) αυτων[846](Their Sins.) "
"22","40","1","22","τουτο[5124](&nbsp;) δε[1161](Now This) ολον[3650](All) γεγονεν[1096](Came To Pass,) ινα[2443](That) πληρωθη[4137](Might Be Fulfilled) το[3588](That Which) ρηθεν[4483](Was Spoken) υπο[5259](By) του[3588](The) κυριου[2962](Lord) δια[1223](Through) του[3588](The) προφητου[4396](Prophet,) λεγοντος[3004](Saying,) "
